n1	n2	d1	d2	type	m	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
40	80	0	0	s2or	17	17	0	5	17	3	12	6	17	17	17	17	17	17	16	17	17	17	17	17	8	17	17	17	11	17	16	17	0
80	80	0	0	raw	1000	33	33	36	516	874	873	975	976	998	998	998	1000	1000	975	976	1000	1000	1000	516	516	516	516	514	515	516	516	248	269
80	80	0	0	sig1	33	33	0	11	20	15	15	28	29	31	31	31	33	33	28	29	33	33	33	20	20	20	20	20	19	20	20	20	0
80	80	0	0	bsln	20	20	0	11	20	15	15	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	19	20	20	20	0
80	80	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	80	0	0	big2	20	20	0	11	20	15	15	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	19	20	20	20	0
80	80	0	0	s2or	20	20	0	11	20	15	15	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	19	20	20	20	0
160	80	0	0	raw	1000	58	33	46	505	911	748	995	858	999	991	994	1000	999	965	963	1000	996	999	285	505	366	505	496	505	503	505	208	297
160	80	0	0	sig1	58	58	3	23	26	38	22	56	32	57	55	55	58	57	49	49	58	56	57	26	26	26	26	26	26	26	26	23	3
160	80	0	0	bsln	26	26	1	23	26	26	22	26	25	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	23	3
160	80	0	0	sig2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
160	80	0	0	big2	26	26	3	23	26	26	22	26	25	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	3
160	80	0	0	s2or	26	26	1	23	26	26	22	26	25	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	24	3
320	80	0	0	raw	1000	57	33	58	497	937	651	1000	693	1000	982	992	1000	998	964	962	1000	990	1000	89	497	97	497	478	497	490	497	161	336
320	80	0	0	sig1	57	57	4	31	23	47	21	57	24	57	53	54	57	56	51	51	57	53	57	23	23	23	23	23	23	23	23	17	6
320	80	0	0	bsln	23	23	2	23	23	23	21	23	22	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	17	6
320	80	0	0	sig2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2
320	80	0	0	big2	23	23	6	23	23	23	22	23	22	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	6
320	80	0	0	s2or	23	23	2	23	23	23	22	23	22	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	19	6
20	160	0	0	raw	1000	48	58	47	474	466	926	493	1000	959	1000	993	997	1000	941	948	972	1000	1000	474	1	474	4	474	427	474	434	373	101
20	160	0	0	sig1	48	48	1	5	29	0	14	0	48	22	48	42	45	48	15	19	27	48	48	29	0	29	1	29	16	29	16	29	0
20	160	0	0	bsln	29	29	1	5	29	0	14	0	29	20	29	27	28	29	15	19	22	29	29	29	0	29	1	29	16	29	16	29	0
20	160	0	0	sig2	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0
20	160	0	0	big2	29	29	1	5	29	0	14	0	29	20	29	27	28	29	15	19	22	29	29	29	0	29	1	29	16	29	16	29	0
20	160	0	0	s2or	29	29	1	5	29	1	15	1	29	20	29	27	28	29	16	19	22	29	29	29	1	29	1	29	16	29	16	29	1
40	160	0	0	raw	1000	46	58	45	511	642	923	685	1000	974	1000	995	1000	1000	949	951	990	1000	1000	511	86	511	103	511	488	511	501	347	164
40	160	0	0	sig1	46	46	6	8	26	5	17	6	46	32	46	41	46	46	24	25	38	46	46	26	7	26	16	26	20	26	20	26	0
40	160	0	0	bsln	26	26	6	8	26	5	17	6	26	25	26	25	26	26	22	23	25	26	26	26	7	26	16	26	20	26	20	26	0
40	160	0	0	sig2	6	6	6	6	6	5	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0
40	160	0	0	big2	26	26	6	8	26	5	17	6	26	25	26	25	26	26	22	23	25	26	26	26	7	26	16	26	20	26	20	26	0
40	160	0	0	s2or	26	26	6	8	26	6	17	7	26	25	26	25	26	26	22	23	25	26	26	26	7	26	16	26	20	26	20	26	6
80	160	0	0	raw	1000	33	58	45	501	768	913	856	999	985	1000	999	1000	1000	955	956	999	1000	1000	501	281	501	370	501	495	501	500	305	196
80	160	0	0	sig1	33	33	1	5	12	3	7	4	33	26	33	33	33	33	16	17	33	33	33	12	6	12	12	12	8	12	11	12	0
80	160	0	0	bsln	12	12	1	5	12	3	7	4	12	12	12	12	12	12	11	11	12	12	12	12	6	12	12	12	8	12	11	12	0
80	160	0	0	sig2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
80	160	0	0	big2	12	12	1	5	12	3	7	4	12	12	12	12	12	12	11	11	12	12	12	12	6	12	12	12	8	12	11	12	0
80	160	0	0	s2or	12	12	1	5	12	3	7	4	12	12	12	12	12	12	11	11	12	12	12	12	6	12	12	12	8	12	11	12	1
160	160	0	0	raw	1000	58	58	51	496	828	828	943	945	994	994	994	1000	1000	942	943	1000	1000	1000	496	496	496	496	495	493	496	496	242	254
160	160	0	0	sig1	58	58	1	16	35	25	25	41	42	53	53	53	58	58	41	41	58	58	58	35	35	35	35	35	32	35	35	35	0
160	160	0	0	bsln	35	35	0	16	35	25	25	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	32	35	35	35	0
160	160	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	160	0	0	big2	35	35	0	16	35	25	25	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	32	35	35	35	0
160	160	0	0	s2or	35	35	0	16	35	25	25	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	32	35	35	35	0
320	160	0	0	raw	1000	57	58	61	486	890	730	993	827	999	984	993	1000	999	951	948	1000	996	1000	321	486	393	486	477	486	486	486	208	278
320	160	0	0	sig1	57	57	5	25	30	38	22	51	31	56	49	51	57	56	43	43	57	54	57	30	30	30	30	30	30	30	30	27	3
320	160	0	0	bsln	30	30	1	25	30	29	22	30	29	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27	3
320	160	0	0	sig2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
320	160	0	0	big2	30	30	3	25	30	29	22	30	29	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3
320	160	0	0	s2or	30	30	1	25	30	29	22	30	29	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28	3
20	320	0	0	raw	1000	48	57	55	482	360	937	371	1000	950	1000	980	989	1000	936	942	956	1000	1000	482	0	482	0	482	403	482	408	399	83
20	320	0	0	sig1	48	48	3	3	21	0	6	0	48	10	48	29	37	48	5	7	12	48	48	21	0	21	0	21	10	21	10	21	0
20	320	0	0	bsln	21	21	1	3	21	0	6	0	21	10	21	17	18	21	5	7	12	21	21	21	0	21	0	21	10	21	10	21	0
20	320	0	0	sig2	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0
20	320	0	0	big2	21	21	1	3	21	0	6	0	21	10	21	17	18	21	5	7	12	21	21	21	0	21	0	21	10	21	10	21	0
20	320	0	0	s2or	21	21	1	3	21	1	6	1	21	10	21	17	18	21	5	7	12	21	21	21	1	21	1	21	10	21	10	21	1
40	320	0	0	raw	1000	46	57	59	511	501	933	525	1000	965	1000	991	996	1000	945	948	976	1000	1000	511	4	511	6	511	466	511	477	375	136
40	320	0	0	sig1	46	46	4	7	21	0	11	0	46	20	46	37	42	46	16	17	24	46	46	21	1	21	3	21	13	21	13	21	0
40	320	0	0	bsln	21	21	3	7	21	0	11	0	21	18	21	20	20	21	14	15	18	21	21	21	1	21	3	21	13	21	13	21	0
40	320	0	0	sig2	3	3	3	3	3	0	2	0	3	3	3	3	3	3	2	2	3	3	3	3	1	3	3	3	1	3	1	3	0
40	320	0	0	big2	21	21	3	7	21	0	11	0	21	18	21	20	20	21	14	15	18	21	21	21	1	21	3	21	13	21	13	21	0
40	320	0	0	s2or	21	21	3	7	21	3	12	3	21	18	21	20	20	21	15	16	18	21	21	21	3	21	3	21	15	21	15	21	3
80	320	0	0	raw	1000	33	57	44	529	670	941	714	1000	980	1000	996	1000	1000	965	966	993	1000	1000	529	95	529	107	529	510	529	520	359	170
80	320	0	0	sig1	33	33	2	7	17	0	9	0	33	21	33	30	33	33	14	15	28	33	33	17	4	17	11	17	10	17	11	17	0
80	320	0	0	bsln	17	17	1	7	17	0	9	0	17	17	17	17	17	17	13	13	17	17	17	17	4	17	11	17	10	17	11	17	0
80	320	0	0	sig2	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
80	320	0	0	big2	17	17	1	7	17	0	9	0	17	17	17	17	17	17	13	13	17	17	17	17	4	17	11	17	10	17	11	17	0
80	320	0	0	s2or	17	17	1	7	17	1	9	1	17	17	17	17	17	17	13	13	17	17	17	17	4	17	11	17	10	17	11	17	1
160	320	0	0	raw	1000	58	57	51	508	722	877	810	997	987	1000	997	1000	1000	948	948	997	1000	1000	508	320	508	406	508	495	508	504	310	198
160	320	0	0	sig1	58	58	4	15	33	9	21	16	55	49	58	55	58	58	35	35	55	58	58	33	20	33	33	33	23	33	29	33	0
160	320	0	0	bsln	33	33	3	15	33	9	21	16	33	32	33	33	33	33	27	27	33	33	33	33	20	33	33	33	23	33	29	33	0
160	320	0	0	sig2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0
160	320	0	0	big2	33	33	3	15	33	9	21	16	33	32	33	33	33	33	27	27	33	33	33	33	20	33	33	33	23	33	29	33	0
160	320	0	0	s2or	33	33	3	15	33	9	21	16	33	32	33	33	33	33	27	27	33	33	33	33	20	33	33	33	23	33	29	33	3
320	320	0	0	raw	1000	57	57	52	500	817	817	942	942	997	997	997	1000	1000	942	941	1000	1000	1000	500	500	500	500	497	497	500	500	254	247
320	320	0	0	sig1	57	57	3	20	32	29	29	40	40	55	55	55	57	57	40	40	57	57	57	32	32	32	32	32	29	32	32	32	1
320	320	0	0	bsln	32	32	2	20	32	29	29	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	29	32	32	32	1
320	320	0	0	sig2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
320	320	0	0	big2	32	32	2	20	32	29	29	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	29	32	32	32	1
320	320	0	0	s2or	32	32	2	20	32	29	29	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	29	32	32	32	2
20	20	0.2	0	raw	1000	95	48	62	482	767	772	928	928	991	992	992	1000	1000	917	920	999	1000	1000	482	482	482	482	479	468	482	482	267	215
20	20	0.2	0	sig1	95	95	6	32	45	26	28	56	61	87	88	88	95	95	54	58	94	95	95	45	45	45	45	45	31	45	45	43	2
20	20	0.2	0	bsln	45	45	3	30	45	26	28	40	43	45	45	45	45	45	40	42	45	45	45	45	45	45	45	45	31	45	45	43	2
20	20	0.2	0	sig2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	2
20	20	0.2	0	big2	45	45	3	30	45	26	28	40	43	45	45	45	45	45	40	42	45	45	45	45	45	45	45	45	31	45	45	45	2
20	20	0.2	0	s2or	45	45	3	30	45	26	28	40	43	45	45	45	45	45	40	42	45	45	45	45	45	45	45	45	31	45	45	45	3
40	20	0.2	0	raw	1000	148	48	99	482	833	662	992	760	1000	949	986	1000	1000	911	909	1000	990	1000	347	482	396	482	468	475	479	482	257	225
40	20	0.2	0	sig1	148	148	6	70	70	76	54	141	66	148	120	139	148	148	102	103	148	141	148	70	70	70	70	70	63	70	70	65	5
40	20	0.2	0	bsln	70	70	3	57	70	63	54	70	62	70	70	70	70	70	68	69	70	70	70	70	70	70	70	70	63	70	70	65	5
40	20	0.2	0	sig2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	1
40	20	0.2	0	big2	70	70	7	57	70	63	54	70	62	70	70	70	70	70	68	69	70	70	70	70	70	70	70	70	63	70	70	70	5
40	20	0.2	0	s2or	70	70	3	57	70	63	54	70	62	70	70	70	70	70	68	69	70	70	70	70	70	70	70	70	63	70	70	66	7
80	20	0.2	0	raw	1000	237	48	200	499	873	537	1000	585	1000	938	984	1000	996	919	915	1000	971	1000	216	499	230	499	469	499	487	499	214	285
80	20	0.2	0	sig1	237	237	8	156	121	178	81	237	92	237	206	228	237	234	198	198	237	224	237	121	121	121	121	119	121	121	121	95	26
80	20	0.2	0	bsln	121	121	5	118	121	121	81	121	91	121	121	121	121	121	121	121	121	121	121	121	121	121	121	119	121	121	121	95	26
80	20	0.2	0	sig2	5	5	5	5	5	5	1	5	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	5	0	5
80	20	0.2	0	big2	121	121	26	118	121	121	85	121	94	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	26
80	20	0.2	0	s2or	121	121	5	118	121	121	85	121	94	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	121	100	26
160	20	0.2	0	raw	1000	435	48	382	486	887	409	1000	425	1000	929	965	1000	986	911	901	1000	938	1000	83	486	81	486	430	486	445	486	211	275
160	20	0.2	0	sig1	435	435	16	358	209	372	150	435	152	435	389	414	435	424	384	380	435	395	435	83	209	81	209	197	209	201	209	120	89
160	20	0.2	0	bsln	209	209	9	206	209	208	150	209	150	209	208	209	209	209	208	208	209	208	209	83	209	81	209	197	209	201	209	120	89
160	20	0.2	0	sig2	9	9	9	9	9	8	0	9	0	9	8	9	9	9	8	8	9	8	9	4	9	5	9	1	9	3	9	0	9
160	20	0.2	0	big2	209	209	89	206	209	209	176	209	176	209	209	209	209	209	209	209	209	209	209	142	209	136	209	209	209	209	209	209	89
160	20	0.2	0	s2or	209	209	9	206	209	209	159	209	159	209	209	209	209	209	209	209	209	209	209	88	209	85	209	205	209	207	209	129	89
320	20	0.2	0	raw	1000	690	48	663	489	900	292	1000	302	1000	917	960	1000	972	909	903	1000	928	999	11	489	10	489	403	489	413	489	210	279
320	20	0.2	0	sig1	690	690	35	645	347	608	182	690	188	690	621	655	690	666	615	611	690	630	690	11	347	10	347	292	347	299	347	167	180
320	20	0.2	0	bsln	347	347	17	346	347	346	182	347	188	347	346	347	347	347	346	345	347	346	347	11	347	10	347	292	347	299	347	167	180
320	20	0.2	0	sig2	17	17	17	17	17	16	0	17	0	17	16	17	17	17	16	15	17	16	17	0	17	2	17	0	17	0	17	0	17
320	20	0.2	0	big2	347	347	180	346	347	347	277	347	281	347	347	347	347	347	347	347	347	347	347	188	347	185	347	347	347	347	347	347	180
320	20	0.2	0	s2or	347	347	17	346	347	347	199	347	205	347	347	347	347	347	347	347	347	347	347	28	347	25	347	309	347	316	347	184	180
20	40	0.2	0	raw	1000	95	46	58	489	690	848	777	994	970	999	987	1000	1000	914	918	990	1000	1000	489	283	489	370	489	453	489	478	329	160
20	40	0.2	0	sig1	95	95	7	23	46	10	24	11	89	71	94	82	95	95	42	45	85	95	95	46	24	46	46	46	14	46	35	46	0
20	40	0.2	0	bsln	46	46	4	23	46	10	24	11	46	42	46	45	46	46	35	36	45	46	46	46	24	46	46	46	14	46	35	46	0
20	40	0.2	0	sig2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0
20	40	0.2	0	big2	46	46	4	23	46	10	24	11	46	42	46	45	46	46	35	36	45	46	46	46	24	46	46	46	14	46	35	46	0
20	40	0.2	0	s2or	46	46	4	23	46	10	24	11	46	42	46	45	46	46	35	36	45	46	46	46	24	46	46	46	14	46	35	46	4
40	40	0.2	0	raw	1000	148	46	86	493	735	740	906	907	983	984	984	1000	1000	904	906	999	999	999	493	493	493	493	489	472	493	493	294	199
40	40	0.2	0	sig1	148	148	9	54	70	43	44	90	92	135	136	136	148	148	90	92	147	147	147	70	70	70	70	70	49	70	70	68	2
