n1	n2	d1	d2	type	m	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
160	20	0	0	s2or	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	0
320	20	0	0	raw	100	6	4	5	45	96	34	100	35	100	97	100	100	100	97	96	100	97	100	0	45	0	45	42	45	43	45	6	39
320	20	0	0	sig1	6	6	0	5	2	5	1	6	1	6	5	6	6	6	5	5	6	5	6	0	2	0	2	2	2	2	2	1	1
320	20	0	0	bsln	2	2	0	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	1	1
320	20	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	20	0	0	big2	2	2	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	1
320	20	0	0	s2or	2	2	0	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	1	1
20	40	0	0	raw	100	4	7	8	48	75	87	82	100	99	100	100	100	100	97	97	100	100	100	48	25	48	34	48	48	48	48	32	16
20	40	0	0	sig1	4	4	0	1	3	1	2	1	4	4	4	4	4	4	4	4	4	4	4	3	2	3	3	3	3	3	3	3	0
20	40	0	0	bsln	3	3	0	1	3	1	2	1	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	0
20	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	40	0	0	big2	3	3	0	1	3	1	2	1	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	0
20	40	0	0	s2or	3	3	0	1	3	1	2	1	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	0
40	40	0	0	raw	100	7	7	6	50	83	83	89	90	100	100	100	100	100	89	90	100	100	100	50	50	50	50	50	49	50	50	23	30
40	40	0	0	sig1	7	7	0	1	1	0	0	0	1	7	7	7	7	7	0	1	7	7	7	1	1	1	1	1	0	1	1	1	0
40	40	0	0	bsln	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0
40	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	40	0	0	big2	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0
40	40	0	0	s2or	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0
80	40	0	0	raw	100	3	7	6	52	90	72	100	81	100	99	100	100	100	96	96	100	100	100	27	52	35	52	50	52	51	52	19	33
80	40	0	0	sig1	3	3	0	2	2	3	2	3	2	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	0
80	40	0	0	bsln	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
80	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	40	0	0	big2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
80	40	0	0	s2or	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
160	40	0	0	raw	100	6	7	4	47	90	66	100	70	100	94	97	100	100	92	92	100	96	100	7	47	10	47	45	47	45	47	8	39
160	40	0	0	sig1	6	6	0	2	1	5	1	6	1	6	6	6	6	6	5	5	6	6	6	1	1	1	1	1	1	1	1	0	1
160	40	0	0	bsln	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
160	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	40	0	0	big2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
160	40	0	0	s2or	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
320	40	0	0	raw	100	6	7	6	55	93	55	100	60	100	94	95	100	99	94	94	100	95	100	1	55	1	55	52	55	52	55	13	42
320	40	0	0	sig1	6	6	0	5	5	5	5	6	5	6	5	6	6	6	5	5	6	6	6	1	5	1	5	5	5	5	5	4	1
320	40	0	0	bsln	5	5	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	1	5	5	5	5	5	4	1
320	40	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	40	0	0	big2	5	5	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	2	5	5	5	5	5	5	1
320	40	0	0	s2or	5	5	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	1	5	5	5	5	5	4	1
20	80	0	0	raw	100	4	3	4	50	59	96	66	100	99	100	100	100	100	97	98	100	100	100	50	6	50	5	50	49	50	49	36	14
20	80	0	0	sig1	4	4	0	2	3	0	2	1	4	3	4	4	4	4	3	3	4	4	4	3	2	3	2	3	2	3	2	3	0
20	80	0	0	bsln	3	3	0	2	3	0	2	1	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	2	3	2	3	0
20	80	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	80	0	0	big2	3	3	0	2	3	0	2	1	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	2	3	2	3	0
20	80	0	0	s2or	3	3	0	2	3	0	2	1	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	2	3	2	3	0
40	80	0	0	raw	100	7	3	3	46	72	88	84	100	98	100	100	100	100	93	94	100	100	100	46	23	46	31	46	45	46	45	26	20
40	80	0	0	sig1	7	7	0	2	4	1	1	1	7	6	7	7	7	7	1	2	7	7	7	4	2	4	4	4	3	4	3	4	0
40	80	0	0	bsln	4	4	0	2	4	1	1	1	4	3	4	4	4	4	1	2	4	4	4	4	2	4	4	4	3	4	3	4	0
40	80	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	80	0	0	big2	4	4	0	2	4	1	1	1	4	3	4	4	4	4	1	2	4	4	4	4	2	4	4	4	3	4	3	4	0
40	80	0	0	s2or	4	4	0	2	4	1	1	1	4	3	4	4	4	4	1	2	4	4	4	4	2	4	4	4	3	4	3	4	0
80	80	0	0	raw	100	3	3	5	50	90	90	97	98	99	99	99	100	100	97	98	100	100	100	50	50	50	50	49	50	50	50	27	27
80	80	0	0	sig1	3	3	0	1	1	1	1	2	3	3	3	3	3	3	2	3	3	3	3	1	1	1	1	1	1	1	1	1	0
80	80	0	0	bsln	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
80	80	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	80	0	0	big2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
80	80	0	0	s2or	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
160	80	0	0	raw	100	6	3	3	51	91	74	99	84	100	98	99	100	100	95	95	100	100	100	24	51	30	51	51	51	51	51	22	29
160	80	0	0	sig1	6	6	0	0	0	4	0	6	2	6	5	6	6	6	4	4	6	6	6	0	0	0	0	0	0	0	0	0	0
160	80	0	0	bsln	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	80	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	80	0	0	big2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	80	0	0	s2or	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	80	0	0	raw	100	6	3	7	47	97	73	100	74	100	99	100	100	100	97	97	100	99	100	10	47	13	47	44	47	44	47	16	31
320	80	0	0	sig1	6	6	0	4	2	4	2	6	2	6	5	6	6	6	4	4	6	5	6	2	2	2	2	2	2	2	2	1	1
320	80	0	0	bsln	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1
320	80	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	80	0	0	big2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
320	80	0	0	s2or	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1
20	160	0	0	raw	100	4	6	5	53	50	96	52	100	96	100	100	100	100	96	96	99	100	100	53	0	53	0	53	50	53	52	42	11
20	160	0	0	sig1	4	4	0	0	2	0	1	0	4	1	4	4	4	4	1	1	3	4	4	2	0	2	0	2	1	2	1	2	0
20	160	0	0	bsln	2	2	0	0	2	0	1	0	2	1	2	2	2	2	1	1	2	2	2	2	0	2	0	2	1	2	1	2	0
20	160	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	160	0	0	big2	2	2	0	0	2	0	1	0	2	1	2	2	2	2	1	1	2	2	2	2	0	2	0	2	1	2	1	2	0
20	160	0	0	s2or	2	2	0	0	2	0	1	0	2	1	2	2	2	2	1	1	2	2	2	2	0	2	0	2	1	2	1	2	0
40	160	0	0	raw	100	7	6	5	45	56	92	63	100	96	100	99	100	100	94	94	99	100	100	45	7	45	6	45	42	45	43	33	12
40	160	0	0	sig1	7	7	1	1	5	0	2	0	7	4	7	6	7	7	3	3	6	7	7	5	1	5	2	5	3	5	3	5	0
40	160	0	0	bsln	5	5	1	1	5	0	2	0	5	4	5	5	5	5	3	3	5	5	5	5	1	5	2	5	3	5	3	5	0
40	160	0	0	sig2	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0
40	160	0	0	big2	5	5	1	1	5	0	2	0	5	4	5	5	5	5	3	3	5	5	5	5	1	5	2	5	3	5	3	5	0
40	160	0	0	s2or	5	5	1	1	5	1	3	1	5	4	5	5	5	5	4	4	5	5	5	5	1	5	2	5	4	5	4	5	1
80	160	0	0	raw	100	3	6	4	51	80	92	89	98	97	100	98	100	100	94	94	99	100	100	51	27	51	33	51	51	51	51	31	20
80	160	0	0	sig1	3	3	2	0	0	0	0	0	1	1	3	1	3	3	0	0	2	3	3	0	0	0	0	0	0	0	0	0	0
80	160	0	0	bsln	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	160	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	160	0	0	big2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	160	0	0	s2or	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	160	0	0	raw	100	6	6	6	52	84	84	95	95	99	99	99	100	100	95	95	100	100	100	52	52	52	52	52	52	52	52	29	23
160	160	0	0	sig1	6	6	1	1	1	1	1	3	3	5	5	5	6	6	3	3	6	6	6	1	1	1	1	1	1	1	1	1	0
160	160	0	0	bsln	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
160	160	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	160	0	0	big2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
160	160	0	0	s2or	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
320	160	0	0	raw	100	6	6	8	50	88	79	100	82	100	97	100	100	100	97	97	100	100	100	27	50	38	50	48	50	50	50	17	33
320	160	0	0	sig1	6	6	0	2	1	2	1	6	1	6	4	6	6	6	4	4	6	6	6	1	1	1	1	1	1	1	1	0	1
320	160	0	0	bsln	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
320	160	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	160	0	0	big2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
320	160	0	0	s2or	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
20	320	0	0	raw	100	4	6	8	51	40	96	41	100	99	100	100	100	100	96	98	99	100	100	51	0	51	0	51	46	51	47	45	6
20	320	0	0	sig1	4	4	0	0	4	0	3	0	4	3	4	4	4	4	3	3	3	4	4	4	0	4	0	4	3	4	3	4	0
20	320	0	0	bsln	4	4	0	0	4	0	3	0	4	3	4	4	4	4	3	3	3	4	4	4	0	4	0	4	3	4	3	4	0
20	320	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	320	0	0	big2	4	4	0	0	4	0	3	0	4	3	4	4	4	4	3	3	3	4	4	4	0	4	0	4	3	4	3	4	0
20	320	0	0	s2or	4	4	0	0	4	0	3	0	4	3	4	4	4	4	3	3	3	4	4	4	0	4	0	4	3	4	3	4	0
40	320	0	0	raw	100	7	6	8	43	47	93	50	100	93	100	98	100	100	93	93	95	100	100	43	1	43	0	43	37	43	38	34	9
40	320	0	0	sig1	7	7	0	1	4	0	1	0	7	1	7	5	7	7	1	1	2	7	7	4	0	4	0	4	2	4	2	4	0
40	320	0	0	bsln	4	4	0	1	4	0	1	0	4	1	4	2	4	4	1	1	2	4	4	4	0	4	0	4	2	4	2	4	0
40	320	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	320	0	0	big2	4	4	0	1	4	0	1	0	4	1	4	2	4	4	1	1	2	4	4	4	0	4	0	4	2	4	2	4	0
40	320	0	0	s2or	4	4	0	1	4	0	1	0	4	1	4	2	4	4	1	1	2	4	4	4	0	4	0	4	2	4	2	4	0
80	320	0	0	raw	100	3	6	3	41	67	92	70	100	96	100	98	100	100	94	94	97	100	100	41	4	41	6	41	40	41	40	24	17
80	320	0	0	sig1	3	3	1	0	1	0	0	0	3	1	3	1	3	3	1	1	1	3	3	1	0	1	0	1	0	1	0	1	0
80	320	0	0	bsln	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0
80	320	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	320	0	0	big2	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0
80	320	0	0	s2or	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0
160	320	0	0	raw	100	6	6	7	48	75	89	86	100	99	100	100	100	100	96	96	100	100	100	48	28	48	33	48	48	48	48	26	22
160	320	0	0	sig1	6	6	0	2	3	1	3	3	6	5	6	6	6	6	4	4	6	6	6	3	3	3	3	3	3	3	3	3	0
160	320	0	0	bsln	3	3	0	2	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0
160	320	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
160	320	0	0	big2	3	3	0	2	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0
160	320	0	0	s2or	3	3	0	2	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0
320	320	0	0	raw	100	6	6	11	50	80	80	96	96	99	99	99	100	100	96	96	100	100	100	50	50	50	50	49	49	50	50	28	23
320	320	0	0	sig1	6	6	0	4	4	2	2	6	6	6	6	6	6	6	6	6	6	6	6	4	4	4	4	4	3	4	4	4	0
320	320	0	0	bsln	4	4	0	4	4	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	0
320	320	0	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	320	0	0	big2	4	4	0	4	4	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	0
320	320	0	0	s2or	4	4	0	4	4	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	0
20	20	0.2	0	raw	100	8	4	5	48	81	80	92	94	99	99	99	100	100	92	92	100	100	100	48	48	48	48	48	47	48	48	29	19
20	20	0.2	0	sig1	8	8	1	2	3	2	2	5	6	7	7	7	8	8	5	5	8	8	8	3	3	3	3	3	2	3	3	3	0
20	20	0.2	0	bsln	3	3	1	2	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	0
20	20	0.2	0	sig2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
20	20	0.2	0	big2	3	3	1	2	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	0
20	20	0.2	0	s2or	3	3	1	2	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	1
40	20	0.2	0	raw	100	17	4	11	50	84	65	100	76	100	97	98	100	100	94	93	100	100	100	36	50	42	50	50	50	50	50	25	25
40	20	0.2	0	sig1	17	17	1	8	8	9	4	17	7	17	15	15	17	17	14	14	17	17	17	8	8	8	8	8	8	8	8	8	0
40	20	0.2	0	bsln	8	8	0	7	8	7	4	8	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	0
40	20	0.2	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	20	0.2	0	big2	8	8	0	7	8	7	4	8	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	0
40	20	0.2	0	s2or	8	8	0	7	8	7	4	8	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	0
80	20	0.2	0	raw	100	24	4	23	53	85	54	100	57	100	90	98	100	99	86	86	100	95	100	22	53	22	53	50	53	52	53	24	29
80	20	0.2	0	sig1	24	24	1	20	10	17	7	24	7	24	18	22	24	23	17	17	24	21	24	10	10	10	10	10	10	10	10	9	1
80	20	0.2	0	bsln	10	10	0	10	10	10	7	10	7	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	1
80	20	0.2	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	20	0.2	0	big2	10	10	1	10	10	10	7	10	7	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1
80	20	0.2	0	s2or	10	10	0	10	10	10	7	10	7	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	1
160	20	0.2	0	raw	100	46	4	42	51	86	42	100	44	100	90	97	100	98	90	90	100	90	100	9	51	10	51	48	51	50	51	27	24
160	20	0.2	0	sig1	46	46	2	41	26	38	19	46	19	46	40	44	46	45	40	40	46	40	46	9	26	10	26	25	26	26	26	22	4
160	20	0.2	0	bsln	26	26	1	26	26	26	19	26	19	26	26	26	26	26	26	26	26	26	26	9	26	10	26	25	26	26	26	22	4
160	20	0.2	0	sig2	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
160	20	0.2	0	big2	26	26	4	26	26	26	20	26	20	26	26	26	26	26	26	26	26	26	26	12	26	12	26	26	26	26	26	26	4
160	20	0.2	0	s2or	26	26	1	26	26	26	20	26	20	26	26	26	26	26	26	26	26	26	26	9	26	10	26	26	26	26	26	23	4
320	20	0.2	0	raw	100	68	4	62	52	88	37	100	37	100	90	97	100	98	89	88	100	91	100	2	52	1	52	48	52	49	52	22	30
320	20	0.2	0	sig1	68	68	1	61	34	59	22	68	22	68	60	66	68	67	59	59	68	61	68	2	34	1	34	32	34	33	34	17	17
320	20	0.2	0	bsln	34	34	0	34	34	34	22	34	22	34	34	34	34	34	34	34	34	34	34	2	34	1	34	32	34	33	34	17	17
320	20	0.2	0	sig2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	20	0.2	0	big2	34	34	17	34	34	34	26	34	26	34	34	34	34	34	34	34	34	34	34	19	34	18	34	34	34	34	34	34	17
320	20	0.2	0	s2or	34	34	0	34	34	34	22	34	22	34	34	34	34	34	34	34	34	34	34	2	34	1	34	32	34	33	34	17	17
20	40	0.2	0	raw	100	8	7	5	48	70	86	78	98	97	100	98	100	100	92	93	98	100	100	48	26	48	35	48	44	48	47	30	18
